method,component,range NRMSE (%),relative L2 (%),RMSE (uT),L1 objective,stationarity RMS (uT),median batch inference (s)
lista,Bx,1.9876113161444664,42.14823842048645,7.430140018463135,3081925.5,0.9476062655448914,0.45968800099990403
lista,By,1.7506469041109085,43.94948482513428,6.235424995422363,2058640.0,0.7903774976730347,0.45968800099990403
lista,Bz,2.8606513515114784,48.443251848220825,11.106668472290039,4014342.75,0.9933170676231384,0.45968800099990403
ista_16,Bx,2.9200535267591476,61.92111372947693,10.91581916809082,5324191.5,0.6814191341400146,0.4175357780000013
ista_16,By,2.4749716743826866,62.13345527648926,8.815313339233398,3346412.75,0.5543708205223083,0.4175357780000013
ista_16,Bz,3.8154739886522293,64.61254358291626,14.813830375671387,8560641.0,0.8665111064910889,0.4175357780000013
ista_500,Bx,1.594807580113411,33.818650245666504,5.9617509841918945,96291.5390625,0.01820685714483261,13.073968415000081
ista_500,By,1.4428703114390373,36.22284531593323,5.139191627502441,76477.1015625,0.015837542712688446,13.073968415000081
ista_500,Bz,2.1449197083711624,36.322808265686035,8.32779312133789,124157.4453125,0.022524703294038773,13.073968415000081
fista_16,Bx,2.3104796186089516,48.99481236934662,8.637094497680664,1891572.75,0.3287474513053894,0.4310672300000533
fista_16,By,1.9980121403932571,50.15951991081238,7.116486549377441,1139642.375,0.24919262528419495,0.4310672300000533
fista_16,Bz,3.1088223680853844,52.645862102508545,12.070208549499512,2999860.75,0.41301554441452026,0.4310672300000533
fista_500,Bx,2.484162710607052,52.67783999443054,9.286360740661621,5691.41455078125,0.0006372191128320992,13.485866418000114
fista_500,By,2.443484030663967,61.34296655654907,8.703161239624023,4642.8642578125,0.0005511738709174097,13.485866418000114
fista_500,Bz,2.0259514451026917,34.30815637111664,7.8658905029296875,5253.3466796875,0.000687365245539695,13.485866418000114
