method,component,range NRMSE (%),relative L2 (%),RMSE (uT),L1 objective,stationarity RMS (uT),median batch inference (s)
lista,Bx,2.058941498398781,43.66082847118378,7.696788311004639,3990770.5,1.1201465129852295,0.2395033569999896
lista,By,1.7985723912715912,45.1526403427124,6.406125068664551,2659677.0,0.9378765821456909,0.2395033569999896
lista,Bz,2.9624519869685173,50.167179107666016,11.50191593170166,5432233.5,1.2712339162826538,0.2395033569999896
ista_8,Bx,3.179445117712021,67.42163300514221,11.885482788085938,7404326.0,0.8664525747299194,0.2163750259999233
ista_8,By,2.687489055097103,67.46863722801208,9.572254180908203,4735953.5,0.7102459669113159,0.2163750259999233
ista_8,Bz,4.119387269020081,69.75911855697632,15.993794441223145,11896441.0,1.0920405387878418,0.2163750259999233
ista_200,Bx,1.7035068944096565,36.123669147491455,6.368093490600586,231506.828125,0.05808309093117714,5.180782383000064
ista_200,By,1.5257849358022213,38.304391503334045,5.434515476226807,173159.015625,0.048476263880729675,5.180782383000064
ista_200,Bz,2.3643795400857925,40.03921449184418,9.17986011505127,347686.09375,0.0757761150598526,5.180782383000064
fista_8,Bx,2.977164648473263,63.132184743881226,11.129313468933105,5709352.0,0.711744487285614,0.2111915279999721
fista_8,By,2.5207703933119774,63.28321695327759,8.978438377380371,3599538.5,0.5802236795425415,0.2111915279999721
fista_8,Bz,3.8823455572128296,65.7449722290039,15.073464393615723,9188518.0,0.9056822657585144,0.2111915279999721
fista_200,Bx,1.8699098378419876,39.652323722839355,6.990145206451416,16576.10546875,0.003272252157330513,5.303320611999993
fista_200,By,1.8110444769263268,45.46574950218201,6.45054817199707,13077.3505859375,0.0028248883318156004,5.303320611999993
fista_200,Bz,1.815776340663433,30.74897825717926,7.049871921539307,16479.62890625,0.0039011568296700716,5.303320611999993
